concept,count,freq
ball,559,0.015844222102548114
cat,537,0.015220657010855702
car,228,0.006462401859357728
hand,225,0.0063773702559451265
foot,155,0.004393299509651087
toy,103,0.002919418383832658
puzzle,88,0.0024942603667696493
room,85,0.0024092287633570475
sand,79,0.0022391655565318445
ground,70,0.0019840707462940393
chair,64,0.001814007539468836
paper,58,0.0016439443326436325
crib,53,0.0015022249936226298
door,48,0.001360505654601627
road,36,0.0010203792409512202
window,33,0.0009353476375386185
table,30,0.0008503160341260168
floor,28,0.0007936282985176157
computer,25,0.000708596695105014
basket,21,0.0005952212238882117
kitchen,21,0.0005952212238882117
stairs,19,0.0005385334882798107
